"Var1","Var2","value"
"안성기","박중훈",1
"김지영","박중훈",1
"김보성","박중훈",1
"양택조","박중훈",1
"이경영","박중훈",1
"동방우","박중훈",1
"김일우","박중훈",1
"최종원","박중훈",1
"권병길","박중훈",1
"이석구","박중훈",1
"도용구","박중훈",1
"국정환","박중훈",1
"민경진","박중훈",1
"조주미","박중훈",1
"정우혁","박중훈",1
"윤문식","박중훈",1
"박예숙","박중훈",1
"기주봉","박중훈",1
"남포동","박중훈",1
"안내상","박중훈",1
"한수연","박중훈",1
"배성우","한석규",1
"김혜수","한석규",1
"송강호","한석규",1
"심혜진","한석규",1
"이경영","한석규",1
"오지혜","한석규",1
"손영순","한석규",1
"오달수","한석규",1
"이병준","한석규",1
"이재구","한석규",1
"정인기","한석규",1
"이한위","한석규",1
"고수","한석규",1
"이일재","방은희",1
"전무송","방은희",1
"양택조","방은희",1
"민경진","방은희",1
"이성훈","방은희",1
"독고영재","방은희",1
"김형자","방은희",1
"홍석연","방은희",1
"송강호","배두나",1
"오달수","배두나",1
"고수희","배두나",1
"윤지혜","배두나",1
"김뢰하","배두나",1
"변희봉","배두나",1
"정보석","배종옥",1
"송옥숙","배종옥",1
"김경란","배종옥",1
"장정국","배종옥",1
"류덕환","배종옥",1
"박용팔","배종옥",1
"서영희","배종옥",1
"문미봉","배종옥",1
"강성진","최진영",1
"김보성","최진영",1
"장인섭","서현우",1
"김병철","서현우",1
"조진웅","서현우",1
"유해진","서현우",1
"김옥빈","서현우",1
"조영진","송강호",1
"김해숙","송강호",1
"엄태구","송강호",1
"김혜수","송강호",1
"한석규","송강호",1
"배두나","송강호",1
"신하균","송강호",1
"이병헌","송강호",1
"김수로","송강호",1
"동방우","송강호",1
"조정석","송강호",1
"박노식","송강호",1
"오달수","송강호",1
"이성민","송강호",1
"박혁권","송강호",1
"윤제문","송강호",1
"정규수","송강호",1
"송영창","송강호",1
"박해일","송강호",1
"고아성","송강호",1
"윤주상","송강호",1
"이대연","송강호",1
"최덕문","송강호",1
"기주봉","송강호",1
"김뢰하","송강호",1
"손병호","송강호",1
"류승수","송강호",1
"변희봉","송강호",1
"권상우","송승헌",1
"유해진","송승헌",1
"정우","송승헌",1
"정규수","송승헌",1
"이기우","송윤아",1
"설경구","송윤아",1
"차승원","송윤아",1
"설경구","송재호",1
"김인권","송재호",1
"안성기","송재호",1
"김지영","송재호",1
"하지원","송재호",1
"김응수","송재호",1
"류태호","송재호",1
"권병길","송재호",1
"오달수","송재호",1
"권태원","송재호",1
"이주실","송재호",1
"고창석","송재호",1
"정인기","송재호",1
"윤제문","송재호",1
"이기영","송재호",1
"김상경","송재호",1
"이민기","송재호",1
"강예원","송재호",1
"고서희","송재호",1
"이미연","강신성일",1
"윤일봉","강신성일",1
"양택조","강신성일",1
"독고영재","강신성일",1
"임옥경","강신성일",1
"전미선","신은경",1
"공형진","신은경",1
"김인문","신은경",1
"안진수","신은경",1
"조학자","신은경",1
"윤주상","신은경",1
"안병경","신은경",1
"공호석","신하균",1
"김의성","신하균",1
"송강호","신하균",1
"류승범","신하균",1
"이재용","신하균",1
"조덕현","신하균",1
"오달수","신하균",1
"정재영","신하균",1
"이용이","신하균",1
"원웅재","신하균",1
"김병옥","신하균",1
"임원희","신하균",1
"조은지","신하균",1
"이성민","신하균",1
"장영남","신하균",1
"김옥빈","신하균",1
"정규수","신하균",1
"송영창","신하균",1
"류덕환","신하균",1
"손현주","신하균",1
"윤주상","신하균",1
"이대연","신하균",1
"류승룡","신하균",1
"기주봉","신하균",1
"이해영","신하균",1
"황정민-2","신하균",1
"이한위","신하균",1
"정석용","신하균",1
"이일재","신현준",1
"김수미","신현준",1
"안성기","신현준",1
"이호재","신현준",1
"정진영","신현준",1
"안석환","신현준",1
"공형진","신현준",1
"김명국","신현준",1
"박철민","신현준",1
